# Galactic Coordinates: l = 16.0, b = 0.0
# RA: 18h19m49.5383s, Dec: -15d01m20.4845s
# Julian Date: 2456032.74808, LST: 18.416
# LSR Correction: -42.1025 km/s
#
OnFreq                   On                       OffFreq                  Off                      Cal
1.414400000000000091e+03 1.163600000000000000e+05 1.424400000000000091e+03 1.202710000000000000e+05 1.333900000000000000e+05
1.414401465022585853e+03 1.163600000000000000e+05 1.424401465022585853e+03 1.202710000000000000e+05 1.333900000000000000e+05
1.414402930045171615e+03 8.264300000000000000e+04 1.424402930045171615e+03 8.716700000000000000e+04 1.009560000000000000e+05
1.414404395067757378e+03 8.313000000000000000e+04 1.424404395067757378e+03 8.622600000000000000e+04 9.936800000000000000e+04
1.414405860090343140e+03 8.273500000000000000e+04 1.424405860090343140e+03 8.582500000000000000e+04 1.001040000000000000e+05
1.414407325112928902e+03 8.248000000000000000e+04 1.424407325112928902e+03 8.562800000000000000e+04 1.002730000000000000e+05
1.414408790135514664e+03 8.185100000000000000e+04 1.424408790135514664e+03 8.526900000000000000e+04 9.959700000000000000e+04
1.414410255158100426e+03 8.150300000000000000e+04 1.424410255158100426e+03 8.538000000000000000e+04 9.953700000000000000e+04
1.414411720180686189e+03 8.180100000000000000e+04 1.424411720180686189e+03 8.444500000000000000e+04 9.924600000000000000e+04
1.414413185203271951e+03 8.204000000000000000e+04 1.424413185203271951e+03 8.530800000000000000e+04 9.911500000000000000e+04
1.414414650225857713e+03 8.109800000000000000e+04 1.424414650225857713e+03 8.464900000000000000e+04 9.908100000000000000e+04
1.414416115248443475e+03 8.173000000000000000e+04 1.424416115248443475e+03 8.519300000000000000e+04 9.837600000000000000e+04
1.414417580271029237e+03 8.145000000000000000e+04 1.424417580271029237e+03 8.496300000000000000e+04 9.881900000000000000e+04
1.414419045293615000e+03 8.151300000000000000e+04 1.424419045293615000e+03 8.476000000000000000e+04 9.921800000000000000e+04
1.414420510316200762e+03 8.099800000000000000e+04 1.424420510316200762e+03 8.468500000000000000e+04 1.000870000000000000e+05
1.414421975338786524e+03 8.213900000000000000e+04 1.424421975338786524e+03 8.461500000000000000e+04 9.912200000000000000e+04
1.414423440361372286e+03 8.147000000000000000e+04 1.424423440361372286e+03 8.502200000000000000e+04 9.899100000000000000e+04
1.414424905383958048e+03 8.161700000000000000e+04 1.424424905383958048e+03 8.471200000000000000e+04 9.918100000000000000e+04
1.414426370406543811e+03 8.167500000000000000e+04 1.424426370406543811e+03 8.451700000000000000e+04 9.921600000000000000e+04
1.414427835429129573e+03 8.114300000000000000e+04 1.424427835429129573e+03 8.437500000000000000e+04 9.908300000000000000e+04
1.414429300451715335e+03 8.089500000000000000e+04 1.424429300451715335e+03 8.417400000000000000e+04 9.983400000000000000e+04
1.414430765474301097e+03 8.188700000000000000e+04 1.424430765474301097e+03 8.417500000000000000e+04 9.864200000000000000e+04
1.414432230496886859e+03 8.121300000000000000e+04 1.424432230496886859e+03 8.388900000000000000e+04 9.841500000000000000e+04
1.414433695519472622e+03 8.016300000000000000e+04 1.424433695519472622e+03 8.472000000000000000e+04 9.919800000000000000e+04
1.414435160542058384e+03 8.106900000000000000e+04 1.424435160542058384e+03 8.406000000000000000e+04 9.813300000000000000e+04
1.414436625564644146e+03 8.115700000000000000e+04 1.424436625564644146e+03 8.404300000000000000e+04 9.866800000000000000e+04
1.414438090587229908e+03 8.056300000000000000e+04 1.424438090587229908e+03 8.401900000000000000e+04 9.837800000000000000e+04
1.414439555609815670e+03 8.121400000000000000e+04 1.424439555609815670e+03 8.456000000000000000e+04 9.854000000000000000e+04
1.414441020632401433e+03 8.074600000000000000e+04 1.424441020632401433e+03 8.403800000000000000e+04 9.846000000000000000e+04
1.414442485654987195e+03 8.084300000000000000e+04 1.424442485654987195e+03 8.396000000000000000e+04 9.834200000000000000e+04
1.414443950677572957e+03 8.110200000000000000e+04 1.424443950677572957e+03 8.376100000000000000e+04 9.830400000000000000e+04
1.414445415700158719e+03 8.052500000000000000e+04 1.424445415700158719e+03 8.417200000000000000e+04 9.834600000000000000e+04
1.414446880722744481e+03 8.096200000000000000e+04 1.424446880722744481e+03 8.341400000000000000e+04 9.849000000000000000e+04
1.414448345745330244e+03 8.049600000000000000e+04 1.424448345745330244e+03 8.404200000000000000e+04 9.857700000000000000e+04
1.414449810767916006e+03 8.062900000000000000e+04 1.424449810767916006e+03 8.400600000000000000e+04 9.875200000000000000e+04
1.414451275790501768e+03 8.090000000000000000e+04 1.424451275790501768e+03 8.438700000000000000e+04 9.878700000000000000e+04
1.414452740813087530e+03 8.075900000000000000e+04 1.424452740813087530e+03 8.401100000000000000e+04 9.844300000000000000e+04
1.414454205835673292e+03 8.071200000000000000e+04 1.424454205835673292e+03 8.390200000000000000e+04 9.878000000000000000e+04
1.414455670858259055e+03 8.128900000000000000e+04 1.424455670858259055e+03 8.363600000000000000e+04 9.813000000000000000e+04
1.414457135880844817e+03 8.082200000000000000e+04 1.424457135880844817e+03 8.473300000000000000e+04 9.809300000000000000e+04
1.414458600903430579e+03 8.078700000000000000e+04 1.424458600903430579e+03 8.357300000000000000e+04 9.888200000000000000e+04
1.414460065926016341e+03 8.072500000000000000e+04 1.424460065926016341e+03 8.399800000000000000e+04 9.859400000000000000e+04
1.414461530948602103e+03 8.091200000000000000e+04 1.424461530948602103e+03 8.375500000000000000e+04 9.875500000000000000e+04
1.414462995971188093e+03 8.103500000000000000e+04 1.424462995971188093e+03 8.347800000000000000e+04 9.827000000000000000e+04
1.414464460993773855e+03 8.014100000000000000e+04 1.424464460993773855e+03 8.379800000000000000e+04 9.858000000000000000e+04
1.414465926016359617e+03 8.007900000000000000e+04 1.424465926016359617e+03 8.370500000000000000e+04 9.897700000000000000e+04
1.414467391038945379e+03 8.101600000000000000e+04 1.424467391038945379e+03 8.386200000000000000e+04 9.906700000000000000e+04
1.414468856061531142e+03 8.037000000000000000e+04 1.424468856061531142e+03 8.302300000000000000e+04 9.869500000000000000e+04
1.414470321084116904e+03 8.062200000000000000e+04 1.424470321084116904e+03 8.348600000000000000e+04 9.824600000000000000e+04
1.414471786106702666e+03 8.079100000000000000e+04 1.424471786106702666e+03 8.418800000000000000e+04 9.868000000000000000e+04
1.414473251129288428e+03 8.057800000000000000e+04 1.424473251129288428e+03 8.384400000000000000e+04 9.845100000000000000e+04
1.414474716151874190e+03 8.043400000000000000e+04 1.424474716151874190e+03 8.393800000000000000e+04 9.827900000000000000e+04
1.414476181174459953e+03 8.070200000000000000e+04 1.424476181174459953e+03 8.364900000000000000e+04 9.809900000000000000e+04
1.414477646197045715e+03 8.036000000000000000e+04 1.424477646197045715e+03 8.333500000000000000e+04 9.888000000000000000e+04
1.414479111219631477e+03 7.980100000000000000e+04 1.424479111219631477e+03 8.334600000000000000e+04 9.948400000000000000e+04
1.414480576242217239e+03 7.999300000000000000e+04 1.424480576242217239e+03 8.371400000000000000e+04 9.796900000000000000e+04
1.414482041264803001e+03 8.044800000000000000e+04 1.424482041264803001e+03 8.331100000000000000e+04 9.796300000000000000e+04
1.414483506287388764e+03 8.057600000000000000e+04 1.424483506287388764e+03 8.380500000000000000e+04 9.866100000000000000e+04
1.414484971309974526e+03 8.052700000000000000e+04 1.424484971309974526e+03 8.381600000000000000e+04 9.790200000000000000e+04
1.414486436332560288e+03 7.993300000000000000e+04 1.424486436332560288e+03 8.371800000000000000e+04 9.803600000000000000e+04
1.414487901355146050e+03 8.053400000000000000e+04 1.424487901355146050e+03 8.425300000000000000e+04 9.895900000000000000e+04
1.414489366377731812e+03 8.062800000000000000e+04 1.424489366377731812e+03 8.354300000000000000e+04 9.892100000000000000e+04
1.414490831400317575e+03 8.022600000000000000e+04 1.424490831400317575e+03 8.396700000000000000e+04 9.826200000000000000e+04
1.414492296422903337e+03 8.072300000000000000e+04 1.424492296422903337e+03 8.429200000000000000e+04 9.813800000000000000e+04
1.414493761445489099e+03 8.045600000000000000e+04 1.424493761445489099e+03 8.359300000000000000e+04 9.790300000000000000e+04
1.414495226468074861e+03 8.088800000000000000e+04 1.424495226468074861e+03 8.368200000000000000e+04 9.868500000000000000e+04
1.414496691490660623e+03 8.030400000000000000e+04 1.424496691490660623e+03 8.449100000000000000e+04 9.788900000000000000e+04
1.414498156513246386e+03 7.992900000000000000e+04 1.424498156513246386e+03 8.410600000000000000e+04 9.785100000000000000e+04
1.414499621535832148e+03 8.015100000000000000e+04 1.424499621535832148e+03 8.358600000000000000e+04 9.861100000000000000e+04
1.414501086558417910e+03 8.000500000000000000e+04 1.424501086558417910e+03 8.360700000000000000e+04 9.878000000000000000e+04
1.414502551581003672e+03 8.076300000000000000e+04 1.424502551581003672e+03 8.464200000000000000e+04 9.805400000000000000e+04
1.414504016603589434e+03 8.014200000000000000e+04 1.424504016603589434e+03 8.424700000000000000e+04 9.827500000000000000e+04
1.414505481626175197e+03 8.075700000000000000e+04 1.424505481626175197e+03 8.401300000000000000e+04 9.827800000000000000e+04
1.414506946648760959e+03 8.049500000000000000e+04 1.424506946648760959e+03 8.366600000000000000e+04 9.912100000000000000e+04
1.414508411671346721e+03 8.088700000000000000e+04 1.424508411671346721e+03 8.394900000000000000e+04 9.856000000000000000e+04
1.414509876693932483e+03 8.026000000000000000e+04 1.424509876693932483e+03 8.381800000000000000e+04 9.845400000000000000e+04
1.414511341716518245e+03 8.062100000000000000e+04 1.424511341716518245e+03 8.349100000000000000e+04 9.829200000000000000e+04
1.414512806739104008e+03 8.032200000000000000e+04 1.424512806739104008e+03 8.413700000000000000e+04 9.880300000000000000e+04
1.414514271761689770e+03 8.060900000000000000e+04 1.424514271761689770e+03 8.397100000000000000e+04 9.899000000000000000e+04
1.414515736784275532e+03 8.081000000000000000e+04 1.424515736784275532e+03 8.390100000000000000e+04 9.833700000000000000e+04
1.414517201806861294e+03 7.997800000000000000e+04 1.424517201806861294e+03 8.398700000000000000e+04 9.775900000000000000e+04
1.414518666829447056e+03 8.040300000000000000e+04 1.424518666829447056e+03 8.335000000000000000e+04 9.788100000000000000e+04
1.414520131852032819e+03 8.063900000000000000e+04 1.424520131852032819e+03 8.376200000000000000e+04 9.852800000000000000e+04
1.414521596874618581e+03 8.073300000000000000e+04 1.424521596874618581e+03 8.402500000000000000e+04 9.801800000000000000e+04
1.414523061897204343e+03 8.097800000000000000e+04 1.424523061897204343e+03 8.418300000000000000e+04 9.835200000000000000e+04
1.414524526919790105e+03 8.065900000000000000e+04 1.424524526919790105e+03 8.404800000000000000e+04 9.968200000000000000e+04
1.414525991942375867e+03 8.002100000000000000e+04 1.424525991942375867e+03 8.438300000000000000e+04 9.788400000000000000e+04
1.414527456964961630e+03 8.044800000000000000e+04 1.424527456964961630e+03 8.406400000000000000e+04 9.790200000000000000e+04
1.414528921987547392e+03 8.051700000000000000e+04 1.424528921987547392e+03 8.445300000000000000e+04 9.848100000000000000e+04
1.414530387010133154e+03 8.037400000000000000e+04 1.424530387010133154e+03 8.356500000000000000e+04 9.819800000000000000e+04
1.414531852032718916e+03 8.023300000000000000e+04 1.424531852032718916e+03 8.355400000000000000e+04 9.915900000000000000e+04
1.414533317055304678e+03 8.074600000000000000e+04 1.424533317055304678e+03 8.390700000000000000e+04 9.820100000000000000e+04
1.414534782077890441e+03 8.057500000000000000e+04 1.424534782077890441e+03 8.373400000000000000e+04 9.842200000000000000e+04
1.414536247100476203e+03 8.045700000000000000e+04 1.424536247100476203e+03 8.433000000000000000e+04 9.834500000000000000e+04
1.414537712123061965e+03 8.052500000000000000e+04 1.424537712123061965e+03 8.357700000000000000e+04 9.872400000000000000e+04
1.414539177145647727e+03 8.118800000000000000e+04 1.424539177145647727e+03 8.341400000000000000e+04 9.816100000000000000e+04
1.414540642168233489e+03 8.049600000000000000e+04 1.424540642168233489e+03 8.383900000000000000e+04 9.751000000000000000e+04
1.414542107190819252e+03 8.038300000000000000e+04 1.424542107190819252e+03 8.471400000000000000e+04 9.859100000000000000e+04
1.414543572213405014e+03 8.055700000000000000e+04 1.424543572213405014e+03 8.425600000000000000e+04 9.934100000000000000e+04
1.414545037235990776e+03 8.067300000000000000e+04 1.424545037235990776e+03 8.359100000000000000e+04 9.892800000000000000e+04
1.414546502258576538e+03 8.035200000000000000e+04 1.424546502258576538e+03 8.367000000000000000e+04 9.832800000000000000e+04
1.414547967281162300e+03 8.123100000000000000e+04 1.424547967281162300e+03 8.349400000000000000e+04 9.894500000000000000e+04
