# Galactic Coordinates: l = 54.0, b = 0.0
# RA: 19h31m17.3475s, Dec: +18d39m31.3248s
# Julian Date: 2456032.89902, LST: 22.0484
# LSR Correction: -41.3547 km/s
#
OnFreq                   On                       OffFreq                  Off                      Cal
1.414400000000000091e+03 1.127180000000000000e+05 1.424400000000000091e+03 1.179080000000000000e+05 1.328330000000000000e+05
1.414401465022585853e+03 1.127180000000000000e+05 1.424401465022585853e+03 1.179080000000000000e+05 1.328330000000000000e+05
1.414402930045171615e+03 7.987300000000000000e+04 1.424402930045171615e+03 8.683100000000000000e+04 1.022500000000000000e+05
1.414404395067757378e+03 7.869100000000000000e+04 1.424404395067757378e+03 8.615300000000000000e+04 1.015790000000000000e+05
1.414405860090343140e+03 7.860300000000000000e+04 1.424405860090343140e+03 8.545900000000000000e+04 1.003270000000000000e+05
1.414407325112928902e+03 7.945000000000000000e+04 1.424407325112928902e+03 8.553700000000000000e+04 1.003840000000000000e+05
1.414408790135514664e+03 7.855000000000000000e+04 1.424408790135514664e+03 8.517100000000000000e+04 1.003060000000000000e+05
1.414410255158100426e+03 7.852800000000000000e+04 1.424410255158100426e+03 8.512600000000000000e+04 1.000860000000000000e+05
1.414411720180686189e+03 7.861600000000000000e+04 1.424411720180686189e+03 8.529500000000000000e+04 9.938000000000000000e+04
1.414413185203271951e+03 7.834200000000000000e+04 1.424413185203271951e+03 8.497500000000000000e+04 1.002770000000000000e+05
1.414414650225857713e+03 7.819900000000000000e+04 1.424414650225857713e+03 8.461400000000000000e+04 1.000320000000000000e+05
1.414416115248443475e+03 7.803200000000000000e+04 1.424416115248443475e+03 8.456900000000000000e+04 9.982100000000000000e+04
1.414417580271029237e+03 7.829300000000000000e+04 1.424417580271029237e+03 8.501300000000000000e+04 1.000280000000000000e+05
1.414419045293615000e+03 7.779500000000000000e+04 1.424419045293615000e+03 8.480800000000000000e+04 9.916400000000000000e+04
1.414420510316200762e+03 7.750100000000000000e+04 1.424420510316200762e+03 8.379300000000000000e+04 9.993400000000000000e+04
1.414421975338786524e+03 7.745900000000000000e+04 1.424421975338786524e+03 8.390400000000000000e+04 9.960000000000000000e+04
1.414423440361372286e+03 7.796800000000000000e+04 1.424423440361372286e+03 8.434300000000000000e+04 9.953400000000000000e+04
1.414424905383958048e+03 7.805200000000000000e+04 1.424424905383958048e+03 8.453500000000000000e+04 9.997400000000000000e+04
1.414426370406543811e+03 7.793700000000000000e+04 1.424426370406543811e+03 8.443500000000000000e+04 9.973200000000000000e+04
1.414427835429129573e+03 7.757300000000000000e+04 1.424427835429129573e+03 8.400600000000000000e+04 9.962000000000000000e+04
1.414429300451715335e+03 7.747900000000000000e+04 1.424429300451715335e+03 8.459700000000000000e+04 9.961800000000000000e+04
1.414430765474301097e+03 7.709600000000000000e+04 1.424430765474301097e+03 8.457500000000000000e+04 9.906700000000000000e+04
1.414432230496886859e+03 7.834700000000000000e+04 1.424432230496886859e+03 8.428000000000000000e+04 9.931900000000000000e+04
1.414433695519472622e+03 7.754600000000000000e+04 1.424433695519472622e+03 8.394800000000000000e+04 9.931300000000000000e+04
1.414435160542058384e+03 7.717900000000000000e+04 1.424435160542058384e+03 8.455800000000000000e+04 9.940500000000000000e+04
