# Galactic Coordinates: l = 14.0, b = 0.0
# RA: 18h15m52.8753s, Dec: -16d46m59.6653s
# Julian Date: 2456032.74602, LST: 18.3664
# LSR Correction: -41.6069 km/s
#
OnFreq                   On                       OffFreq                  Off                      Cal
1.414400000000000091e+03 1.167630000000000000e+05 1.424400000000000091e+03 1.191170000000000000e+05 1.331440000000000000e+05
1.414401465022585853e+03 1.167630000000000000e+05 1.424401465022585853e+03 1.191170000000000000e+05 1.331440000000000000e+05
1.414402930045171615e+03 8.346700000000000000e+04 1.424402930045171615e+03 8.684000000000000000e+04 1.015500000000000000e+05
1.414404395067757378e+03 8.323900000000000000e+04 1.424404395067757378e+03 8.622000000000000000e+04 1.000090000000000000e+05
1.414405860090343140e+03 8.278600000000000000e+04 1.424405860090343140e+03 8.584900000000000000e+04 9.963400000000000000e+04
1.414407325112928902e+03 8.294000000000000000e+04 1.424407325112928902e+03 8.634600000000000000e+04 1.007120000000000000e+05
1.414408790135514664e+03 8.228000000000000000e+04 1.424408790135514664e+03 8.559200000000000000e+04 9.978500000000000000e+04
1.414410255158100426e+03 8.196500000000000000e+04 1.424410255158100426e+03 8.524200000000000000e+04 1.003590000000000000e+05
1.414411720180686189e+03 8.144700000000000000e+04 1.424411720180686189e+03 8.484500000000000000e+04 9.931800000000000000e+04
1.414413185203271951e+03 8.176400000000000000e+04 1.424413185203271951e+03 8.546900000000000000e+04 9.987500000000000000e+04
1.414414650225857713e+03 8.177700000000000000e+04 1.424414650225857713e+03 8.498600000000000000e+04 1.007810000000000000e+05
1.414416115248443475e+03 8.168500000000000000e+04 1.424416115248443475e+03 8.488600000000000000e+04 9.917200000000000000e+04
1.414417580271029237e+03 8.140900000000000000e+04 1.424417580271029237e+03 8.482700000000000000e+04 9.953500000000000000e+04
1.414419045293615000e+03 8.154400000000000000e+04 1.424419045293615000e+03 8.468800000000000000e+04 9.930100000000000000e+04
1.414420510316200762e+03 8.188100000000000000e+04 1.424420510316200762e+03 8.466300000000000000e+04 9.916000000000000000e+04
1.414421975338786524e+03 8.127100000000000000e+04 1.424421975338786524e+03 8.411100000000000000e+04 1.001160000000000000e+05
1.414423440361372286e+03 8.137000000000000000e+04 1.424423440361372286e+03 8.418600000000000000e+04 9.921600000000000000e+04
1.414424905383958048e+03 8.107500000000000000e+04 1.424424905383958048e+03 8.482500000000000000e+04 9.938400000000000000e+04
1.414426370406543811e+03 8.101300000000000000e+04 1.424426370406543811e+03 8.450900000000000000e+04 9.940900000000000000e+04
1.414427835429129573e+03 8.111900000000000000e+04 1.424427835429129573e+03 8.458200000000000000e+04 9.919900000000000000e+04
1.414429300451715335e+03 8.113700000000000000e+04 1.424429300451715335e+03 8.415600000000000000e+04 9.863000000000000000e+04
1.414430765474301097e+03 8.103700000000000000e+04 1.424430765474301097e+03 8.462600000000000000e+04 9.816900000000000000e+04
1.414432230496886859e+03 8.106300000000000000e+04 1.424432230496886859e+03 8.434400000000000000e+04 9.931100000000000000e+04
1.414433695519472622e+03 8.093300000000000000e+04 1.424433695519472622e+03 8.464300000000000000e+04 9.865300000000000000e+04
1.414435160542058384e+03 8.102400000000000000e+04 1.424435160542058384e+03 8.420500000000000000e+04 9.858100000000000000e+04
1.414436625564644146e+03 8.098100000000000000e+04 1.424436625564644146e+03 8.419600000000000000e+04 9.905900000000000000e+04
1.414438090587229908e+03 8.046600000000000000e+04 1.424438090587229908e+03 8.341100000000000000e+04 9.912000000000000000e+04
1.414439555609815670e+03 8.092800000000000000e+04 1.424439555609815670e+03 8.422100000000000000e+04 9.879400000000000000e+04
1.414441020632401433e+03 8.134800000000000000e+04 1.424441020632401433e+03 8.410200000000000000e+04 9.868900000000000000e+04
1.414442485654987195e+03 8.074000000000000000e+04 1.424442485654987195e+03 8.372600000000000000e+04 9.888800000000000000e+04
1.414443950677572957e+03 8.060100000000000000e+04 1.424443950677572957e+03 8.429700000000000000e+04 9.845400000000000000e+04
1.414445415700158719e+03 8.057500000000000000e+04 1.424445415700158719e+03 8.371400000000000000e+04 9.902100000000000000e+04
1.414446880722744481e+03 8.045200000000000000e+04 1.424446880722744481e+03 8.299700000000000000e+04 9.843900000000000000e+04
1.414448345745330244e+03 8.073100000000000000e+04 1.424448345745330244e+03 8.396200000000000000e+04 9.823900000000000000e+04
1.414449810767916006e+03 8.040700000000000000e+04 1.424449810767916006e+03 8.420100000000000000e+04 9.802600000000000000e+04
1.414451275790501768e+03 8.054100000000000000e+04 1.424451275790501768e+03 8.404400000000000000e+04 9.815500000000000000e+04
1.414452740813087530e+03 8.032800000000000000e+04 1.424452740813087530e+03 8.368400000000000000e+04 9.876800000000000000e+04
