# Galactic Coordinates: l = 58.0, b = 0.0
# RA: 19h39m35.9054s, Dec: +22d09m11.2741s
# Julian Date: 2456032.79032, LST: 19.4327
# LSR Correction: -40.2981 km/s
#
OnFreq                   On                       OffFreq                  Off                      Cal
1.414400000000000091e+03 1.182600000000000000e+05 1.424400000000000091e+03 1.272730000000000000e+05 1.431870000000000000e+05
1.414401465022585853e+03 1.182600000000000000e+05 1.424401465022585853e+03 1.272730000000000000e+05 1.431870000000000000e+05
1.414402930045171615e+03 8.484100000000000000e+04 1.424402930045171615e+03 9.309800000000000000e+04 1.100590000000000000e+05
1.414404395067757378e+03 8.364000000000000000e+04 1.424404395067757378e+03 9.313400000000000000e+04 1.101000000000000000e+05
1.414405860090343140e+03 8.362700000000000000e+04 1.424405860090343140e+03 9.294800000000000000e+04 1.087100000000000000e+05
1.414407325112928902e+03 8.338300000000000000e+04 1.424407325112928902e+03 9.309500000000000000e+04 1.087050000000000000e+05
1.414408790135514664e+03 8.313700000000000000e+04 1.424408790135514664e+03 9.217800000000000000e+04 1.087080000000000000e+05
1.414410255158100426e+03 8.255400000000000000e+04 1.424410255158100426e+03 9.209900000000000000e+04 1.085950000000000000e+05
1.414411720180686189e+03 8.254600000000000000e+04 1.424411720180686189e+03 9.176800000000000000e+04 1.092490000000000000e+05
1.414413185203271951e+03 8.250300000000000000e+04 1.424413185203271951e+03 9.292600000000000000e+04 1.086500000000000000e+05
1.414414650225857713e+03 8.234200000000000000e+04 1.424414650225857713e+03 9.241700000000000000e+04 1.084810000000000000e+05
1.414416115248443475e+03 8.219000000000000000e+04 1.424416115248443475e+03 9.161000000000000000e+04 1.084640000000000000e+05
1.414417580271029237e+03 8.258900000000000000e+04 1.424417580271029237e+03 9.133400000000000000e+04 1.083730000000000000e+05
1.414419045293615000e+03 8.230400000000000000e+04 1.424419045293615000e+03 9.159300000000000000e+04 1.073910000000000000e+05
1.414420510316200762e+03 8.255700000000000000e+04 1.424420510316200762e+03 9.135500000000000000e+04 1.082430000000000000e+05
1.414421975338786524e+03 8.269000000000000000e+04 1.424421975338786524e+03 9.151100000000000000e+04 1.081460000000000000e+05
1.414423440361372286e+03 8.186700000000000000e+04 1.424423440361372286e+03 9.132800000000000000e+04 1.080880000000000000e+05
1.414424905383958048e+03 8.166100000000000000e+04 1.424424905383958048e+03 9.146400000000000000e+04 1.076540000000000000e+05
1.414426370406543811e+03 8.205300000000000000e+04 1.424426370406543811e+03 9.133400000000000000e+04 1.075850000000000000e+05
1.414427835429129573e+03 8.233100000000000000e+04 1.424427835429129573e+03 9.187600000000000000e+04 1.074730000000000000e+05
1.414429300451715335e+03 8.230400000000000000e+04 1.424429300451715335e+03 9.077400000000000000e+04 1.083350000000000000e+05
1.414430765474301097e+03 8.177100000000000000e+04 1.424430765474301097e+03 9.162300000000000000e+04 1.079240000000000000e+05
1.414432230496886859e+03 8.228500000000000000e+04 1.424432230496886859e+03 9.142200000000000000e+04 1.073960000000000000e+05
1.414433695519472622e+03 8.220900000000000000e+04 1.424433695519472622e+03 9.059800000000000000e+04 1.076060000000000000e+05
1.414435160542058384e+03 8.197100000000000000e+04 1.424435160542058384e+03 9.060800000000000000e+04 1.078870000000000000e+05
1.414436625564644146e+03 8.253700000000000000e+04 1.424436625564644146e+03 9.139500000000000000e+04 1.072920000000000000e+05
1.414438090587229908e+03 8.179200000000000000e+04 1.424438090587229908e+03 9.111100000000000000e+04 1.072410000000000000e+05
1.414439555609815670e+03 8.181400000000000000e+04 1.424439555609815670e+03 9.101400000000000000e+04 1.072360000000000000e+05
1.414441020632401433e+03 8.247200000000000000e+04 1.424441020632401433e+03 9.159100000000000000e+04 1.078680000000000000e+05
1.414442485654987195e+03 8.191000000000000000e+04 1.424442485654987195e+03 9.062200000000000000e+04 1.072360000000000000e+05
1.414443950677572957e+03 8.160900000000000000e+04 1.424443950677572957e+03 9.134400000000000000e+04 1.072040000000000000e+05
1.414445415700158719e+03 8.135400000000000000e+04 1.424445415700158719e+03 8.999600000000000000e+04 1.072930000000000000e+05
1.414446880722744481e+03 8.099600000000000000e+04 1.424446880722744481e+03 9.044100000000000000e+04 1.063210000000000000e+05
1.414448345745330244e+03 8.145800000000000000e+04 1.424448345745330244e+03 9.192800000000000000e+04 1.072640000000000000e+05
1.414449810767916006e+03 8.228000000000000000e+04 1.424449810767916006e+03 9.052000000000000000e+04 1.075710000000000000e+05
1.414451275790501768e+03 8.199600000000000000e+04 1.424451275790501768e+03 9.107100000000000000e+04 1.079970000000000000e+05
1.414452740813087530e+03 8.163200000000000000e+04 1.424452740813087530e+03 9.132700000000000000e+04 1.073200000000000000e+05
1.414454205835673292e+03 8.131400000000000000e+04 1.424454205835673292e+03 9.064800000000000000e+04 1.079770000000000000e+05
1.414455670858259055e+03 8.188100000000000000e+04 1.424455670858259055e+03 9.068100000000000000e+04 1.080570000000000000e+05
1.414457135880844817e+03 8.151200000000000000e+04 1.424457135880844817e+03 9.136900000000000000e+04 1.074760000000000000e+05
1.414458600903430579e+03 8.140700000000000000e+04 1.424458600903430579e+03 9.108000000000000000e+04 1.071200000000000000e+05
1.414460065926016341e+03 8.108500000000000000e+04 1.424460065926016341e+03 9.095300000000000000e+04 1.075330000000000000e+05
1.414461530948602103e+03 8.112000000000000000e+04 1.424461530948602103e+03 9.078700000000000000e+04 1.066300000000000000e+05
1.414462995971188093e+03 8.108800000000000000e+04 1.424462995971188093e+03 9.088500000000000000e+04 1.078620000000000000e+05
1.414464460993773855e+03 8.228100000000000000e+04 1.424464460993773855e+03 9.059400000000000000e+04 1.079260000000000000e+05
1.414465926016359617e+03 8.184400000000000000e+04 1.424465926016359617e+03 9.032300000000000000e+04 1.075790000000000000e+05
1.414467391038945379e+03 8.133100000000000000e+04 1.424467391038945379e+03 9.064900000000000000e+04 1.070340000000000000e+05
1.414468856061531142e+03 8.146700000000000000e+04 1.424468856061531142e+03 9.068800000000000000e+04 1.067290000000000000e+05
1.414470321084116904e+03 8.080200000000000000e+04 1.424470321084116904e+03 9.056700000000000000e+04 1.070680000000000000e+05
1.414471786106702666e+03 8.166000000000000000e+04 1.424471786106702666e+03 9.123300000000000000e+04 1.070430000000000000e+05
1.414473251129288428e+03 8.136000000000000000e+04 1.424473251129288428e+03 9.044800000000000000e+04 1.070030000000000000e+05
1.414474716151874190e+03 8.121900000000000000e+04 1.424474716151874190e+03 9.031100000000000000e+04 1.072170000000000000e+05
1.414476181174459953e+03 8.110600000000000000e+04 1.424476181174459953e+03 9.062800000000000000e+04 1.078280000000000000e+05
1.414477646197045715e+03 8.177200000000000000e+04 1.424477646197045715e+03 9.073200000000000000e+04 1.065990000000000000e+05
1.414479111219631477e+03 8.150500000000000000e+04 1.424479111219631477e+03 9.119900000000000000e+04 1.070900000000000000e+05
1.414480576242217239e+03 8.115000000000000000e+04 1.424480576242217239e+03 9.104600000000000000e+04 1.075040000000000000e+05
1.414482041264803001e+03 8.155500000000000000e+04 1.424482041264803001e+03 9.073900000000000000e+04 1.064370000000000000e+05
1.414483506287388764e+03 8.149200000000000000e+04 1.424483506287388764e+03 9.113400000000000000e+04 1.065690000000000000e+05
1.414484971309974526e+03 8.105800000000000000e+04 1.424484971309974526e+03 9.084300000000000000e+04 1.070590000000000000e+05
1.414486436332560288e+03 8.182600000000000000e+04 1.424486436332560288e+03 9.077500000000000000e+04 1.074960000000000000e+05
1.414487901355146050e+03 8.219800000000000000e+04 1.424487901355146050e+03 9.116800000000000000e+04 1.078550000000000000e+05
1.414489366377731812e+03 8.150800000000000000e+04 1.424489366377731812e+03 9.079300000000000000e+04 1.064630000000000000e+05
1.414490831400317575e+03 8.177000000000000000e+04 1.424490831400317575e+03 9.131200000000000000e+04 1.069920000000000000e+05
