# Galactic Coordinates: l = 76.0, b = 0.0
# RA: 20h23m46.6635s, Dec: +37d25m35.4315s
# Julian Date: 2456032.80904, LST: 19.8831
# LSR Correction: -32.7122 km/s
#
OnFreq                   On                       OffFreq                  Off                      Cal
1.414400000000000091e+03 1.164820000000000000e+05 1.424400000000000091e+03 1.299580000000000000e+05 1.471070000000000000e+05
1.414401465022585853e+03 1.164820000000000000e+05 1.424401465022585853e+03 1.299580000000000000e+05 1.471070000000000000e+05
1.414402930045171615e+03 8.505200000000000000e+04 1.424402930045171615e+03 9.778000000000000000e+04 1.145470000000000000e+05
1.414404395067757378e+03 8.478600000000000000e+04 1.424404395067757378e+03 9.724800000000000000e+04 1.134510000000000000e+05
1.414405860090343140e+03 8.402900000000000000e+04 1.424405860090343140e+03 9.668600000000000000e+04 1.124620000000000000e+05
1.414407325112928902e+03 8.380400000000000000e+04 1.424407325112928902e+03 9.729800000000000000e+04 1.133020000000000000e+05
1.414408790135514664e+03 8.331400000000000000e+04 1.424408790135514664e+03 9.738500000000000000e+04 1.131730000000000000e+05
1.414410255158100426e+03 8.279100000000000000e+04 1.424410255158100426e+03 9.649000000000000000e+04 1.127830000000000000e+05
1.414411720180686189e+03 8.353000000000000000e+04 1.424411720180686189e+03 9.616900000000000000e+04 1.121880000000000000e+05
1.414413185203271951e+03 8.275100000000000000e+04 1.424413185203271951e+03 9.643400000000000000e+04 1.115470000000000000e+05
1.414414650225857713e+03 8.215200000000000000e+04 1.424414650225857713e+03 9.644900000000000000e+04 1.127190000000000000e+05
1.414416115248443475e+03 8.311800000000000000e+04 1.424416115248443475e+03 9.681100000000000000e+04 1.132180000000000000e+05
1.414417580271029237e+03 8.296300000000000000e+04 1.424417580271029237e+03 9.580200000000000000e+04 1.126500000000000000e+05
1.414419045293615000e+03 8.271700000000000000e+04 1.424419045293615000e+03 9.578400000000000000e+04 1.121470000000000000e+05
1.414420510316200762e+03 8.317100000000000000e+04 1.424420510316200762e+03 9.636800000000000000e+04 1.121970000000000000e+05
1.414421975338786524e+03 8.314200000000000000e+04 1.424421975338786524e+03 9.574300000000000000e+04 1.122790000000000000e+05
1.414423440361372286e+03 8.251500000000000000e+04 1.424423440361372286e+03 9.530400000000000000e+04 1.112650000000000000e+05
1.414424905383958048e+03 8.213500000000000000e+04 1.424424905383958048e+03 9.527500000000000000e+04 1.114050000000000000e+05
1.414426370406543811e+03 8.249300000000000000e+04 1.424426370406543811e+03 9.570300000000000000e+04 1.121950000000000000e+05
1.414427835429129573e+03 8.269200000000000000e+04 1.424427835429129573e+03 9.627300000000000000e+04 1.129240000000000000e+05
1.414429300451715335e+03 8.153000000000000000e+04 1.424429300451715335e+03 9.597600000000000000e+04 1.125860000000000000e+05
1.414430765474301097e+03 8.205800000000000000e+04 1.424430765474301097e+03 9.575300000000000000e+04 1.124270000000000000e+05
1.414432230496886859e+03 8.186200000000000000e+04 1.424432230496886859e+03 9.505200000000000000e+04 1.114380000000000000e+05
1.414433695519472622e+03 8.177200000000000000e+04 1.424433695519472622e+03 9.496400000000000000e+04 1.116630000000000000e+05
1.414435160542058384e+03 8.248700000000000000e+04 1.424435160542058384e+03 9.568800000000000000e+04 1.118670000000000000e+05
1.414436625564644146e+03 8.169800000000000000e+04 1.424436625564644146e+03 9.531500000000000000e+04 1.119180000000000000e+05
1.414438090587229908e+03 8.231300000000000000e+04 1.424438090587229908e+03 9.576000000000000000e+04 1.114420000000000000e+05
1.414439555609815670e+03 8.204100000000000000e+04 1.424439555609815670e+03 9.550000000000000000e+04 1.127070000000000000e+05
1.414441020632401433e+03 8.171500000000000000e+04 1.424441020632401433e+03 9.590100000000000000e+04 1.119420000000000000e+05
1.414442485654987195e+03 8.175700000000000000e+04 1.424442485654987195e+03 9.558700000000000000e+04 1.116380000000000000e+05
1.414443950677572957e+03 8.223600000000000000e+04 1.424443950677572957e+03 9.515800000000000000e+04 1.110920000000000000e+05
1.414445415700158719e+03 8.153900000000000000e+04 1.424445415700158719e+03 9.517500000000000000e+04 1.109000000000000000e+05
1.414446880722744481e+03 8.195300000000000000e+04 1.424446880722744481e+03 9.519200000000000000e+04 1.120720000000000000e+05
1.414448345745330244e+03 8.205900000000000000e+04 1.424448345745330244e+03 9.533100000000000000e+04 1.114850000000000000e+05
1.414449810767916006e+03 8.197500000000000000e+04 1.424449810767916006e+03 9.580200000000000000e+04 1.115230000000000000e+05
1.414451275790501768e+03 8.218500000000000000e+04 1.424451275790501768e+03 9.553000000000000000e+04 1.110010000000000000e+05
1.414452740813087530e+03 8.206500000000000000e+04 1.424452740813087530e+03 9.598000000000000000e+04 1.120120000000000000e+05
1.414454205835673292e+03 8.222600000000000000e+04 1.424454205835673292e+03 9.597100000000000000e+04 1.118620000000000000e+05
1.414455670858259055e+03 8.158200000000000000e+04 1.424455670858259055e+03 9.512200000000000000e+04 1.113610000000000000e+05
1.414457135880844817e+03 8.174300000000000000e+04 1.424457135880844817e+03 9.521000000000000000e+04 1.113810000000000000e+05
1.414458600903430579e+03 8.177000000000000000e+04 1.424458600903430579e+03 9.519100000000000000e+04 1.118790000000000000e+05
1.414460065926016341e+03 8.213100000000000000e+04 1.424460065926016341e+03 9.533900000000000000e+04 1.113010000000000000e+05
1.414461530948602103e+03 8.214200000000000000e+04 1.424461530948602103e+03 9.529600000000000000e+04 1.113360000000000000e+05
1.414462995971188093e+03 8.199000000000000000e+04 1.424462995971188093e+03 9.489700000000000000e+04 1.120010000000000000e+05
1.414464460993773855e+03 8.214600000000000000e+04 1.424464460993773855e+03 9.547700000000000000e+04 1.108260000000000000e+05
1.414465926016359617e+03 8.259200000000000000e+04 1.424465926016359617e+03 9.530000000000000000e+04 1.117880000000000000e+05
1.414467391038945379e+03 8.188700000000000000e+04 1.424467391038945379e+03 9.514700000000000000e+04 1.114050000000000000e+05
1.414468856061531142e+03 8.148900000000000000e+04 1.424468856061531142e+03 9.503100000000000000e+04 1.113730000000000000e+05
1.414470321084116904e+03 8.136100000000000000e+04 1.424470321084116904e+03 9.487100000000000000e+04 1.105870000000000000e+05
1.414471786106702666e+03 8.149600000000000000e+04 1.424471786106702666e+03 9.529000000000000000e+04 1.111030000000000000e+05
1.414473251129288428e+03 8.136500000000000000e+04 1.424473251129288428e+03 9.487000000000000000e+04 1.116210000000000000e+05
