# Galactic Coordinates: l = 90.0, b = 0.0
# RA: 21h12m01.0516s, Dec: +48d19m46.6939s
# Julian Date: 2456032.8236, LST: 20.2335
# LSR Correction: -24.5483 km/s
#
OnFreq                   On                       OffFreq                  Off                      Cal
1.414400000000000091e+03 1.151040000000000000e+05 1.424400000000000091e+03 1.291900000000000000e+05 1.461620000000000000e+05
1.414401465022585853e+03 1.151040000000000000e+05 1.424401465022585853e+03 1.291900000000000000e+05 1.461620000000000000e+05
1.414402930045171615e+03 8.299400000000000000e+04 1.424402930045171615e+03 9.824600000000000000e+04 1.139700000000000000e+05
1.414404395067757378e+03 8.194100000000000000e+04 1.424404395067757378e+03 9.748100000000000000e+04 1.134700000000000000e+05
1.414405860090343140e+03 8.240500000000000000e+04 1.424405860090343140e+03 9.665900000000000000e+04 1.134400000000000000e+05
1.414407325112928902e+03 8.183100000000000000e+04 1.424407325112928902e+03 9.713400000000000000e+04 1.137710000000000000e+05
1.414408790135514664e+03 8.182800000000000000e+04 1.424408790135514664e+03 9.654500000000000000e+04 1.127050000000000000e+05
1.414410255158100426e+03 8.114800000000000000e+04 1.424410255158100426e+03 9.596100000000000000e+04 1.131240000000000000e+05
1.414411720180686189e+03 8.146100000000000000e+04 1.424411720180686189e+03 9.548200000000000000e+04 1.129160000000000000e+05
1.414413185203271951e+03 8.140600000000000000e+04 1.424413185203271951e+03 9.681400000000000000e+04 1.119940000000000000e+05
1.414414650225857713e+03 8.119000000000000000e+04 1.424414650225857713e+03 9.584900000000000000e+04 1.119470000000000000e+05
1.414416115248443475e+03 8.156300000000000000e+04 1.424416115248443475e+03 9.586600000000000000e+04 1.126920000000000000e+05
1.414417580271029237e+03 8.142800000000000000e+04 1.424417580271029237e+03 9.604800000000000000e+04 1.123070000000000000e+05
1.414419045293615000e+03 8.132900000000000000e+04 1.424419045293615000e+03 9.575600000000000000e+04 1.123010000000000000e+05
1.414420510316200762e+03 8.068400000000000000e+04 1.424420510316200762e+03 9.589000000000000000e+04 1.116550000000000000e+05
1.414421975338786524e+03 8.122600000000000000e+04 1.424421975338786524e+03 9.528700000000000000e+04 1.115990000000000000e+05
1.414423440361372286e+03 8.136000000000000000e+04 1.424423440361372286e+03 9.538900000000000000e+04 1.119450000000000000e+05
1.414424905383958048e+03 8.137000000000000000e+04 1.424424905383958048e+03 9.510000000000000000e+04 1.122470000000000000e+05
1.414426370406543811e+03 8.087900000000000000e+04 1.424426370406543811e+03 9.597500000000000000e+04 1.119510000000000000e+05
1.414427835429129573e+03 8.117400000000000000e+04 1.424427835429129573e+03 9.570900000000000000e+04 1.117850000000000000e+05
1.414429300451715335e+03 8.071900000000000000e+04 1.424429300451715335e+03 9.521900000000000000e+04 1.122850000000000000e+05
1.414430765474301097e+03 8.119800000000000000e+04 1.424430765474301097e+03 9.538500000000000000e+04 1.114210000000000000e+05
1.414432230496886859e+03 8.047000000000000000e+04 1.424432230496886859e+03 9.515300000000000000e+04 1.108700000000000000e+05
1.414433695519472622e+03 8.050000000000000000e+04 1.424433695519472622e+03 9.527900000000000000e+04 1.115210000000000000e+05
1.414435160542058384e+03 8.047700000000000000e+04 1.424435160542058384e+03 9.525700000000000000e+04 1.115450000000000000e+05
1.414436625564644146e+03 8.123600000000000000e+04 1.424436625564644146e+03 9.522900000000000000e+04 1.117860000000000000e+05
1.414438090587229908e+03 7.995700000000000000e+04 1.424438090587229908e+03 9.616200000000000000e+04 1.104840000000000000e+05
1.414439555609815670e+03 8.011300000000000000e+04 1.424439555609815670e+03 9.524300000000000000e+04 1.115490000000000000e+05
1.414441020632401433e+03 8.071000000000000000e+04 1.424441020632401433e+03 9.539300000000000000e+04 1.117230000000000000e+05
1.414442485654987195e+03 8.057800000000000000e+04 1.424442485654987195e+03 9.527500000000000000e+04 1.109970000000000000e+05
1.414443950677572957e+03 8.061400000000000000e+04 1.424443950677572957e+03 9.422200000000000000e+04 1.111250000000000000e+05
1.414445415700158719e+03 8.068100000000000000e+04 1.424445415700158719e+03 9.486800000000000000e+04 1.121260000000000000e+05
1.414446880722744481e+03 8.001200000000000000e+04 1.424446880722744481e+03 9.496400000000000000e+04 1.112290000000000000e+05
1.414448345745330244e+03 8.003000000000000000e+04 1.424448345745330244e+03 9.482300000000000000e+04 1.120560000000000000e+05
1.414449810767916006e+03 8.075500000000000000e+04 1.424449810767916006e+03 9.499900000000000000e+04 1.110770000000000000e+05
1.414451275790501768e+03 8.058700000000000000e+04 1.424451275790501768e+03 9.532200000000000000e+04 1.112270000000000000e+05
1.414452740813087530e+03 8.085700000000000000e+04 1.424452740813087530e+03 9.551700000000000000e+04 1.107190000000000000e+05
