# Galactic Coordinates: l = 46.0, b = 0.0
# RA: 19h15m36.3211s, Dec: +11d36m32.8509s
# Julian Date: 2456032.77905, LST: 19.1614
# LSR Correction: -43.1943 km/s
#
OnFreq                   On                       OffFreq                  Off                      Cal
1.414400000000000091e+03 1.150620000000000000e+05 1.424400000000000091e+03 1.229360000000000000e+05 1.397010000000000000e+05
1.414401465022585853e+03 1.150620000000000000e+05 1.424401465022585853e+03 1.229360000000000000e+05 1.397010000000000000e+05
1.414402930045171615e+03 8.337300000000000000e+04 1.424402930045171615e+03 9.196100000000000000e+04 1.076570000000000000e+05
1.414404395067757378e+03 8.385600000000000000e+04 1.424404395067757378e+03 9.118800000000000000e+04 1.068960000000000000e+05
1.414405860090343140e+03 8.291200000000000000e+04 1.424405860090343140e+03 9.075000000000000000e+04 1.056950000000000000e+05
1.414407325112928902e+03 8.291600000000000000e+04 1.424407325112928902e+03 9.053500000000000000e+04 1.068980000000000000e+05
1.414408790135514664e+03 8.306100000000000000e+04 1.424408790135514664e+03 9.075200000000000000e+04 1.063080000000000000e+05
1.414410255158100426e+03 8.282200000000000000e+04 1.424410255158100426e+03 8.993100000000000000e+04 1.062720000000000000e+05
1.414411720180686189e+03 8.220800000000000000e+04 1.424411720180686189e+03 8.992800000000000000e+04 1.059590000000000000e+05
1.414413185203271951e+03 8.266600000000000000e+04 1.424413185203271951e+03 9.056100000000000000e+04 1.055390000000000000e+05
1.414414650225857713e+03 8.235500000000000000e+04 1.424414650225857713e+03 8.957700000000000000e+04 1.062650000000000000e+05
1.414416115248443475e+03 8.235800000000000000e+04 1.424416115248443475e+03 8.982000000000000000e+04 1.056290000000000000e+05
1.414417580271029237e+03 8.187800000000000000e+04 1.424417580271029237e+03 8.968800000000000000e+04 1.055190000000000000e+05
1.414419045293615000e+03 8.176400000000000000e+04 1.424419045293615000e+03 9.035300000000000000e+04 1.057260000000000000e+05
1.414420510316200762e+03 8.174600000000000000e+04 1.424420510316200762e+03 9.008400000000000000e+04 1.047920000000000000e+05
1.414421975338786524e+03 8.194900000000000000e+04 1.424421975338786524e+03 9.030500000000000000e+04 1.054490000000000000e+05
1.414423440361372286e+03 8.155500000000000000e+04 1.424423440361372286e+03 8.981400000000000000e+04 1.052830000000000000e+05
1.414424905383958048e+03 8.180500000000000000e+04 1.424424905383958048e+03 9.029600000000000000e+04 1.058160000000000000e+05
1.414426370406543811e+03 8.211500000000000000e+04 1.424426370406543811e+03 8.947600000000000000e+04 1.056860000000000000e+05
1.414427835429129573e+03 8.177200000000000000e+04 1.424427835429129573e+03 8.980500000000000000e+04 1.053050000000000000e+05
1.414429300451715335e+03 8.193400000000000000e+04 1.424429300451715335e+03 9.010200000000000000e+04 1.053220000000000000e+05
1.414430765474301097e+03 8.190900000000000000e+04 1.424430765474301097e+03 8.898700000000000000e+04 1.055020000000000000e+05
1.414432230496886859e+03 8.153200000000000000e+04 1.424432230496886859e+03 8.896500000000000000e+04 1.058170000000000000e+05
1.414433695519472622e+03 8.116900000000000000e+04 1.424433695519472622e+03 8.861000000000000000e+04 1.054560000000000000e+05
1.414435160542058384e+03 8.091200000000000000e+04 1.424435160542058384e+03 8.897400000000000000e+04 1.054000000000000000e+05
1.414436625564644146e+03 8.113400000000000000e+04 1.424436625564644146e+03 8.913700000000000000e+04 1.051540000000000000e+05
1.414438090587229908e+03 8.153100000000000000e+04 1.424438090587229908e+03 8.876300000000000000e+04 1.046230000000000000e+05
1.414439555609815670e+03 8.141000000000000000e+04 1.424439555609815670e+03 8.870100000000000000e+04 1.047120000000000000e+05
1.414441020632401433e+03 8.054900000000000000e+04 1.424441020632401433e+03 8.905200000000000000e+04 1.041920000000000000e+05
1.414442485654987195e+03 8.121700000000000000e+04 1.424442485654987195e+03 8.931500000000000000e+04 1.037630000000000000e+05
1.414443950677572957e+03 8.152000000000000000e+04 1.424443950677572957e+03 8.974900000000000000e+04 1.046300000000000000e+05
1.414445415700158719e+03 8.071800000000000000e+04 1.424445415700158719e+03 8.929000000000000000e+04 1.042400000000000000e+05
1.414446880722744481e+03 8.086700000000000000e+04 1.424446880722744481e+03 8.814300000000000000e+04 1.049250000000000000e+05
1.414448345745330244e+03 8.090100000000000000e+04 1.424448345745330244e+03 8.898600000000000000e+04 1.045620000000000000e+05
1.414449810767916006e+03 8.060300000000000000e+04 1.424449810767916006e+03 8.903300000000000000e+04 1.045460000000000000e+05
1.414451275790501768e+03 8.076100000000000000e+04 1.424451275790501768e+03 8.871300000000000000e+04 1.045110000000000000e+05
1.414452740813087530e+03 8.109100000000000000e+04 1.424452740813087530e+03 8.880300000000000000e+04 1.047390000000000000e+05
1.414454205835673292e+03 8.074500000000000000e+04 1.424454205835673292e+03 8.932400000000000000e+04 1.050350000000000000e+05
1.414455670858259055e+03 8.093600000000000000e+04 1.424455670858259055e+03 8.876000000000000000e+04 1.048750000000000000e+05
1.414457135880844817e+03 8.040300000000000000e+04 1.424457135880844817e+03 8.895700000000000000e+04 1.043510000000000000e+05
1.414458600903430579e+03 8.114200000000000000e+04 1.424458600903430579e+03 8.905100000000000000e+04 1.044370000000000000e+05
1.414460065926016341e+03 8.114800000000000000e+04 1.424460065926016341e+03 8.829700000000000000e+04 1.049380000000000000e+05
1.414461530948602103e+03 8.105000000000000000e+04 1.424461530948602103e+03 8.895400000000000000e+04 1.046700000000000000e+05
1.414462995971188093e+03 8.079200000000000000e+04 1.424462995971188093e+03 8.931100000000000000e+04 1.048990000000000000e+05
1.414464460993773855e+03 8.075200000000000000e+04 1.424464460993773855e+03 8.922100000000000000e+04 1.042210000000000000e+05
1.414465926016359617e+03 8.045100000000000000e+04 1.424465926016359617e+03 8.874500000000000000e+04 1.043130000000000000e+05
1.414467391038945379e+03 8.074500000000000000e+04 1.424467391038945379e+03 8.867000000000000000e+04 1.046970000000000000e+05
1.414468856061531142e+03 8.103900000000000000e+04 1.424468856061531142e+03 8.800400000000000000e+04 1.042020000000000000e+05
1.414470321084116904e+03 8.057500000000000000e+04 1.424470321084116904e+03 8.840800000000000000e+04 1.044440000000000000e+05
1.414471786106702666e+03 8.124900000000000000e+04 1.424471786106702666e+03 8.798600000000000000e+04 1.044230000000000000e+05
1.414473251129288428e+03 8.000300000000000000e+04 1.424473251129288428e+03 8.853300000000000000e+04 1.045210000000000000e+05
1.414474716151874190e+03 8.070400000000000000e+04 1.424474716151874190e+03 8.878200000000000000e+04 1.048580000000000000e+05
1.414476181174459953e+03 8.109000000000000000e+04 1.424476181174459953e+03 8.956600000000000000e+04 1.050200000000000000e+05
1.414477646197045715e+03 8.039900000000000000e+04 1.424477646197045715e+03 8.897600000000000000e+04 1.045640000000000000e+05
1.414479111219631477e+03 8.033200000000000000e+04 1.424479111219631477e+03 8.794600000000000000e+04 1.046830000000000000e+05
1.414480576242217239e+03 8.094100000000000000e+04 1.424480576242217239e+03 8.924600000000000000e+04 1.044520000000000000e+05
1.414482041264803001e+03 8.127100000000000000e+04 1.424482041264803001e+03 8.894600000000000000e+04 1.044030000000000000e+05
1.414483506287388764e+03 8.080200000000000000e+04 1.424483506287388764e+03 8.833700000000000000e+04 1.046850000000000000e+05
1.414484971309974526e+03 8.066900000000000000e+04 1.424484971309974526e+03 8.922800000000000000e+04 1.043710000000000000e+05
1.414486436332560288e+03 8.043200000000000000e+04 1.424486436332560288e+03 8.878600000000000000e+04 1.055410000000000000e+05
1.414487901355146050e+03 8.083500000000000000e+04 1.424487901355146050e+03 8.836000000000000000e+04 1.050730000000000000e+05
1.414489366377731812e+03 8.041900000000000000e+04 1.424489366377731812e+03 8.878100000000000000e+04 1.046770000000000000e+05
1.414490831400317575e+03 8.100800000000000000e+04 1.424490831400317575e+03 8.897000000000000000e+04 1.051550000000000000e+05
1.414492296422903337e+03 8.056900000000000000e+04 1.424492296422903337e+03 8.892400000000000000e+04 1.040450000000000000e+05
1.414493761445489099e+03 8.000100000000000000e+04 1.424493761445489099e+03 8.842500000000000000e+04 1.043720000000000000e+05
1.414495226468074861e+03 8.065200000000000000e+04 1.424495226468074861e+03 8.892800000000000000e+04 1.054850000000000000e+05
1.414496691490660623e+03 8.081400000000000000e+04 1.424496691490660623e+03 8.874100000000000000e+04 1.041800000000000000e+05
1.414498156513246386e+03 8.042400000000000000e+04 1.424498156513246386e+03 8.879900000000000000e+04 1.045910000000000000e+05
1.414499621535832148e+03 8.134900000000000000e+04 1.424499621535832148e+03 8.872400000000000000e+04 1.041670000000000000e+05
1.414501086558417910e+03 8.125000000000000000e+04 1.424501086558417910e+03 8.937400000000000000e+04 1.040500000000000000e+05
1.414502551581003672e+03 8.039200000000000000e+04 1.424502551581003672e+03 8.847200000000000000e+04 1.051750000000000000e+05
1.414504016603589434e+03 8.036700000000000000e+04 1.424504016603589434e+03 8.816300000000000000e+04 1.055300000000000000e+05
1.414505481626175197e+03 8.124600000000000000e+04 1.424505481626175197e+03 8.828400000000000000e+04 1.044460000000000000e+05
1.414506946648760959e+03 8.073900000000000000e+04 1.424506946648760959e+03 8.857600000000000000e+04 1.052280000000000000e+05
1.414508411671346721e+03 8.097000000000000000e+04 1.424508411671346721e+03 8.863600000000000000e+04 1.052460000000000000e+05
1.414509876693932483e+03 8.102400000000000000e+04 1.424509876693932483e+03 8.886100000000000000e+04 1.048910000000000000e+05
1.414511341716518245e+03 8.088500000000000000e+04 1.424511341716518245e+03 8.908800000000000000e+04 1.049550000000000000e+05
1.414512806739104008e+03 8.133500000000000000e+04 1.424512806739104008e+03 8.885300000000000000e+04 1.042120000000000000e+05
1.414514271761689770e+03 8.086500000000000000e+04 1.424514271761689770e+03 8.865800000000000000e+04 1.049180000000000000e+05
1.414515736784275532e+03 8.076000000000000000e+04 1.424515736784275532e+03 8.909000000000000000e+04 1.051870000000000000e+05
1.414517201806861294e+03 8.114700000000000000e+04 1.424517201806861294e+03 8.874400000000000000e+04 1.049690000000000000e+05
1.414518666829447056e+03 8.115400000000000000e+04 1.424518666829447056e+03 8.864800000000000000e+04 1.052050000000000000e+05
1.414520131852032819e+03 8.091400000000000000e+04 1.424520131852032819e+03 8.864300000000000000e+04 1.052560000000000000e+05
1.414521596874618581e+03 8.028400000000000000e+04 1.424521596874618581e+03 8.876700000000000000e+04 1.049060000000000000e+05
1.414523061897204343e+03 8.068200000000000000e+04 1.424523061897204343e+03 8.853500000000000000e+04 1.046480000000000000e+05
1.414524526919790105e+03 8.096400000000000000e+04 1.424524526919790105e+03 8.878200000000000000e+04 1.047570000000000000e+05
1.414525991942375867e+03 8.102300000000000000e+04 1.424525991942375867e+03 8.880500000000000000e+04 1.051140000000000000e+05
1.414527456964961630e+03 8.084500000000000000e+04 1.424527456964961630e+03 8.870400000000000000e+04 1.047360000000000000e+05
1.414528921987547392e+03 8.078600000000000000e+04 1.424528921987547392e+03 8.885900000000000000e+04 1.049450000000000000e+05
1.414530387010133154e+03 8.096400000000000000e+04 1.424530387010133154e+03 8.915600000000000000e+04 1.052040000000000000e+05
1.414531852032718916e+03 8.066700000000000000e+04 1.424531852032718916e+03 8.882000000000000000e+04 1.044890000000000000e+05
1.414533317055304678e+03 8.070900000000000000e+04 1.424533317055304678e+03 8.853100000000000000e+04 1.052030000000000000e+05
1.414534782077890441e+03 8.106900000000000000e+04 1.424534782077890441e+03 8.869200000000000000e+04 1.055270000000000000e+05
1.414536247100476203e+03 8.088400000000000000e+04 1.424536247100476203e+03 8.890600000000000000e+04 1.052950000000000000e+05
1.414537712123061965e+03 8.145000000000000000e+04 1.424537712123061965e+03 9.017000000000000000e+04 1.044960000000000000e+05
1.414539177145647727e+03 8.074100000000000000e+04 1.424539177145647727e+03 8.931700000000000000e+04 1.049170000000000000e+05
1.414540642168233489e+03 8.033900000000000000e+04 1.424540642168233489e+03 8.932200000000000000e+04 1.047740000000000000e+05
1.414542107190819252e+03 8.020000000000000000e+04 1.424542107190819252e+03 8.869200000000000000e+04 1.044990000000000000e+05
1.414543572213405014e+03 8.068800000000000000e+04 1.424543572213405014e+03 8.853900000000000000e+04 1.053900000000000000e+05
1.414545037235990776e+03 8.098900000000000000e+04 1.424545037235990776e+03 8.919800000000000000e+04 1.053130000000000000e+05
1.414546502258576538e+03 8.111000000000000000e+04 1.424546502258576538e+03 8.935900000000000000e+04 1.056920000000000000e+05
1.414547967281162300e+03 8.420600000000000000e+04 1.424547967281162300e+03 8.831100000000000000e+04 1.056820000000000000e+05
1.414549432303748063e+03 8.103300000000000000e+04 1.424549432303748063e+03 8.913100000000000000e+04 1.048490000000000000e+05
1.414550897326333825e+03 8.110300000000000000e+04 1.424550897326333825e+03 8.877800000000000000e+04 1.052530000000000000e+05
1.414552362348919587e+03 8.157100000000000000e+04 1.424552362348919587e+03 8.963900000000000000e+04 1.056290000000000000e+05
1.414553827371505349e+03 8.135400000000000000e+04 1.424553827371505349e+03 8.832700000000000000e+04 1.047720000000000000e+05
1.414555292394091111e+03 8.162900000000000000e+04 1.424555292394091111e+03 8.874900000000000000e+04 1.052020000000000000e+05
1.414556757416676874e+03 8.072900000000000000e+04 1.424556757416676874e+03 8.913300000000000000e+04 1.045800000000000000e+05
1.414558222439262636e+03 8.084900000000000000e+04 1.424558222439262636e+03 8.951600000000000000e+04 1.052990000000000000e+05
1.414559687461848398e+03 8.113100000000000000e+04 1.424559687461848398e+03 8.930000000000000000e+04 1.049770000000000000e+05
1.414561152484434160e+03 8.120500000000000000e+04 1.424561152484434160e+03 8.886300000000000000e+04 1.049280000000000000e+05
1.414562617507019922e+03 8.086900000000000000e+04 1.424562617507019922e+03 8.956000000000000000e+04 1.057040000000000000e+05
1.414564082529605685e+03 8.085300000000000000e+04 1.424564082529605685e+03 8.905900000000000000e+04 1.055890000000000000e+05
