# Galactic Coordinates: l = 72.0, b = 0.0
# RA: 20h12m41.1179s, Dec: +34d07m07.2675s
# Julian Date: 2456032.80488, LST: 19.7831
# LSR Correction: -34.7064 km/s
#
OnFreq                   On                       OffFreq                  Off                      Cal
1.414400000000000091e+03 1.152890000000000000e+05 1.424400000000000091e+03 1.287890000000000000e+05 1.452820000000000000e+05
1.414401465022585853e+03 1.152890000000000000e+05 1.424401465022585853e+03 1.287890000000000000e+05 1.452820000000000000e+05
1.414402930045171615e+03 8.278100000000000000e+04 1.424402930045171615e+03 9.719200000000000000e+04 1.138520000000000000e+05
1.414404395067757378e+03 8.235700000000000000e+04 1.424404395067757378e+03 9.651800000000000000e+04 1.129080000000000000e+05
1.414405860090343140e+03 8.136800000000000000e+04 1.424405860090343140e+03 9.598100000000000000e+04 1.125030000000000000e+05
1.414407325112928902e+03 8.202600000000000000e+04 1.424407325112928902e+03 9.579100000000000000e+04 1.120370000000000000e+05
1.414408790135514664e+03 8.149100000000000000e+04 1.424408790135514664e+03 9.612400000000000000e+04 1.118630000000000000e+05
1.414410255158100426e+03 8.122100000000000000e+04 1.424410255158100426e+03 9.550800000000000000e+04 1.124470000000000000e+05
1.414411720180686189e+03 8.089900000000000000e+04 1.424411720180686189e+03 9.511200000000000000e+04 1.118900000000000000e+05
1.414413185203271951e+03 8.128700000000000000e+04 1.424413185203271951e+03 9.621700000000000000e+04 1.112590000000000000e+05
1.414414650225857713e+03 8.198000000000000000e+04 1.424414650225857713e+03 9.504000000000000000e+04 1.112280000000000000e+05
1.414416115248443475e+03 8.174000000000000000e+04 1.424416115248443475e+03 9.525700000000000000e+04 1.124810000000000000e+05
1.414417580271029237e+03 8.076200000000000000e+04 1.424417580271029237e+03 9.591000000000000000e+04 1.123120000000000000e+05
1.414419045293615000e+03 8.072400000000000000e+04 1.424419045293615000e+03 9.551400000000000000e+04 1.124830000000000000e+05
1.414420510316200762e+03 8.068100000000000000e+04 1.424420510316200762e+03 9.537300000000000000e+04 1.116150000000000000e+05
1.414421975338786524e+03 8.019200000000000000e+04 1.424421975338786524e+03 9.510000000000000000e+04 1.118830000000000000e+05
1.414423440361372286e+03 8.018400000000000000e+04 1.424423440361372286e+03 9.465700000000000000e+04 1.113810000000000000e+05
1.414424905383958048e+03 8.044900000000000000e+04 1.424424905383958048e+03 9.498600000000000000e+04 1.114430000000000000e+05
1.414426370406543811e+03 8.020400000000000000e+04 1.424426370406543811e+03 9.525100000000000000e+04 1.113720000000000000e+05
1.414427835429129573e+03 8.115900000000000000e+04 1.424427835429129573e+03 9.420100000000000000e+04 1.111030000000000000e+05
1.414429300451715335e+03 8.049700000000000000e+04 1.424429300451715335e+03 9.491400000000000000e+04 1.117880000000000000e+05
1.414430765474301097e+03 8.040100000000000000e+04 1.424430765474301097e+03 9.499200000000000000e+04 1.118070000000000000e+05
1.414432230496886859e+03 8.017300000000000000e+04 1.424432230496886859e+03 9.464300000000000000e+04 1.113690000000000000e+05
1.414433695519472622e+03 8.024400000000000000e+04 1.424433695519472622e+03 9.408000000000000000e+04 1.114860000000000000e+05
1.414435160542058384e+03 8.009100000000000000e+04 1.424435160542058384e+03 9.453300000000000000e+04 1.111060000000000000e+05
1.414436625564644146e+03 7.952000000000000000e+04 1.424436625564644146e+03 9.469800000000000000e+04 1.108560000000000000e+05
1.414438090587229908e+03 7.968100000000000000e+04 1.424438090587229908e+03 9.404900000000000000e+04 1.105090000000000000e+05
1.414439555609815670e+03 8.005700000000000000e+04 1.424439555609815670e+03 9.411400000000000000e+04 1.101930000000000000e+05
