# Galactic Coordinates: l = 80.0, b = 0.0
# RA: 20h35m53.0923s, Dec: +40d39m48.9974s
# Julian Date: 2456032.81321, LST: 19.9833
# LSR Correction: -30.5587 km/s
#
OnFreq                   On                       OffFreq                  Off                      Cal
1.414400000000000091e+03 1.178370000000000000e+05 1.424400000000000091e+03 1.305420000000000000e+05 1.453370000000000000e+05
1.414401465022585853e+03 1.178370000000000000e+05 1.424401465022585853e+03 1.305420000000000000e+05 1.453370000000000000e+05
1.414402930045171615e+03 8.554000000000000000e+04 1.424402930045171615e+03 9.817600000000000000e+04 1.152030000000000000e+05
1.414404395067757378e+03 8.496000000000000000e+04 1.424404395067757378e+03 9.830800000000000000e+04 1.147710000000000000e+05
1.414405860090343140e+03 8.451800000000000000e+04 1.424405860090343140e+03 9.781700000000000000e+04 1.134380000000000000e+05
1.414407325112928902e+03 8.525300000000000000e+04 1.424407325112928902e+03 9.807900000000000000e+04 1.146600000000000000e+05
1.414408790135514664e+03 8.433300000000000000e+04 1.424408790135514664e+03 9.690100000000000000e+04 1.138290000000000000e+05
1.414410255158100426e+03 8.395500000000000000e+04 1.424410255158100426e+03 9.658400000000000000e+04 1.142460000000000000e+05
1.414411720180686189e+03 8.394800000000000000e+04 1.424411720180686189e+03 9.657400000000000000e+04 1.136250000000000000e+05
1.414413185203271951e+03 8.461600000000000000e+04 1.424413185203271951e+03 9.697000000000000000e+04 1.133750000000000000e+05
1.414414650225857713e+03 8.323700000000000000e+04 1.424414650225857713e+03 9.765300000000000000e+04 1.134700000000000000e+05
1.414416115248443475e+03 8.405000000000000000e+04 1.424416115248443475e+03 9.634400000000000000e+04 1.133210000000000000e+05
1.414417580271029237e+03 8.406500000000000000e+04 1.424417580271029237e+03 9.716800000000000000e+04 1.136020000000000000e+05
1.414419045293615000e+03 8.382400000000000000e+04 1.424419045293615000e+03 9.713000000000000000e+04 1.133570000000000000e+05
1.414420510316200762e+03 8.370800000000000000e+04 1.424420510316200762e+03 9.746400000000000000e+04 1.127110000000000000e+05
1.414421975338786524e+03 8.376200000000000000e+04 1.424421975338786524e+03 9.668700000000000000e+04 1.134300000000000000e+05
1.414423440361372286e+03 8.353400000000000000e+04 1.424423440361372286e+03 9.614600000000000000e+04 1.133940000000000000e+05
1.414424905383958048e+03 8.377700000000000000e+04 1.424424905383958048e+03 9.608200000000000000e+04 1.121900000000000000e+05
1.414426370406543811e+03 8.410600000000000000e+04 1.424426370406543811e+03 9.662100000000000000e+04 1.120550000000000000e+05
